"","panelist","session","rank","product","cocoa_a","milk_a","cocoa_f","milk_f","caramel","vanilla","sweetness","acidity","bitterness","astringency","crunchy","melting","sticky","granular"
"65","id_011","session_01","order_02","choc2",2,2,2,3,3,3,1,3,5,2,3,2,2,5
"66","id_011","session_01","order_03","choc3",4,2,2,8,7,7,7,2,2,1,1,8,8,2
"67","id_012","session_01","order_05","choc3",4,9,6,9,8,8,6,1,0,0,1,8,6,0
"68","id_012","session_01","order_03","choc6",7,2,5,3,7,6,5,3,5,0,7,3,3,0
"69","id_012","session_01","order_02","choc4",5,4,7,3,0,0,4,4,8,0,6,3,4,0
"70","id_012","session_01","order_04","choc1",8,4,9,2,6,1,4,2,8,0,3,3,2,0
"71","id_012","session_01","order_06","choc5",9,6,7,5,8,5,7,4,6,1,5,6,3,0
"72","id_012","session_01","order_01","choc2",9,6,9,2,3,0,5,0,9,1,6,8,7,0
"73","id_013","session_01","order_01","choc2",7,2,7,1,1,1,3,3,2,1,8,3,2,2
"74","id_013","session_01","order_02","choc6",7,3,7,3,1,1,7,2,2,2,7,3,1,0
"75","id_013","session_01","order_05","choc5",8,4,7,3,2,0,5,3,3,2,6,3,1,7
"76","id_013","session_01","order_03","choc4",9,1,8,1,0,0,1,6,6,3,5,7,3,5
"77","id_013","session_01","order_04","choc1",8,1,9,0,0,0,1,8,8,1,6,6,2,3
"78","id_013","session_01","order_06","choc3",4,7,2,8,4,2,8,0,0,0,6,7,2,1
"79","id_014","session_01","order_05","choc3",5,4,5,6,4,1,7,3,2,1,4,7,2,2
"80","id_014","session_01","order_01","choc4",7,2,7,1,2,0,5,1,4,1,6,5,3,2
"81","id_014","session_01","order_02","choc2",5,3,7,2,2,1,5,1,6,1,6,5,5,3
"82","id_014","session_01","order_03","choc5",6,3,6,3,2,1,7,2,3,1,7,7,4,2
"83","id_014","session_01","order_04","choc6",6,3,6,4,2,1,4,2,5,2,6,6,5,5
"84","id_014","session_01","order_06","choc1",6,3,7,2,1,1,4,2,6,3,2,4,6,6
"85","id_015","session_01","order_01","choc5",7,1,6,2,0,1,2,0,1,2,7,8,0,1
"86","id_015","session_01","order_02","choc1",9,0,10,0,0,1,1,0,8,6,9,7,0,1
"87","id_015","session_01","order_03","choc3",5,3,2,9,9,5,7,1,0,3,3,9,3,6
"88","id_015","session_01","order_05","choc4",6,3,9,2,0,0,1,4,8,6,7,3,1,2
"89","id_015","session_01","order_04","choc6",7,0,8,0,0,2,1,1,6,4,10,3,1,2
"90","id_015","session_01","order_06","choc2",6,3,10,1,0,0,2,4,8,4,10,3,1,2
"91","id_016","session_01","order_01","choc2",8,3,7,3,3,5,7,1,1,1,7,6,2,1
"92","id_016","session_01","order_03","choc6",7,5,7,6,5,2,8,1,1,1,7,8,9,8
"93","id_016","session_01","order_04","choc3",6,10,4,7,9,9,7,3,1,1,2,7,7,3
"94","id_016","session_01","order_06","choc5",8,6,8,2,0,0,9,7,5,4,9,2,8,7
"95","id_016","session_01","order_02","choc4",3,6,3,3,6,5,6,10,8,3,5,6,7,7
"96","id_016","session_01","order_05","choc1",7,4,8,1,1,1,5,2,8,7,8,2,7,7
"97","id_017","session_01","order_06","choc3",6,5,4,10,7,6,10,2,3,3,1,8,7,6
"98","id_017","session_01","order_05","choc5",7,3,5,3,4,3,6,1,3,3,6,0,6,10
"99","id_017","session_01","order_03","choc1",7,3,8,1,1,1,1,8,7,4,4,8,5,2
"100","id_017","session_01","order_02","choc2",3,8,7,4,1,0,3,8,7,3,7,1,5,9
"101","id_017","session_01","order_01","choc6",7,4,5,2,3,3,5,7,2,1,7,2,6,6
"102","id_017","session_01","order_04","choc4",7,3,5,1,1,1,1,5,8,2,2,1,8,9
"103","id_018","session_01","order_02","choc3",1,9,4,8,8,2,7,3,1,3,2,7,5,0
"104","id_018","session_01","order_03","choc2",9,5,8,2,5,5,4,7,1,4,8,5,5,0
"105","id_018","session_01","order_01","choc4",4,7,9,2,0,0,6,7,2,5,8,0,0,1
"106","id_018","session_01","order_05","choc6",8,7,8,3,5,1,8,2,4,8,8,3,1,0
"107","id_018","session_01","order_04","choc5",9,4,7,3,2,0,2,3,6,2,5,8,0,0
"108","id_018","session_01","order_06","choc1",7,8,7,2,0,0,2,10,7,8,6,1,0,0
"109","id_019","session_01","order_01","choc1",8,1,9,0,1,1,1,3,8,2,5,4,6,1
"110","id_019","session_01","order_02","choc6",4,8,6,5,3,1,2,1,6,4,7,7,5,1
"111","id_019","session_01","order_06","choc4",7,4,9,0,0,0,2,2,9,4,7,5,5,4
"112","id_019","session_01","order_03","choc5",7,3,9,1,6,3,2,2,8,2,8,4,1,1
"113","id_019","session_01","order_05","choc3",5,5,4,9,5,2,7,2,1,6,3,8,5,2
"114","id_019","session_01","order_04","choc2",4,3,6,4,7,5,2,1,9,2,9,5,3,1
"115","id_020","session_01","order_01","choc6",8,3,9,0,3,0,5,2,2,2,10,6,2,0
"116","id_020","session_01","order_02","choc1",3,9,10,0,2,0,3,2,8,8,9,4,5,3
"117","id_020","session_01","order_03","choc5",8,5,8,2,4,0,9,0,4,3,8,3,6,4
"118","id_020","session_01","order_06","choc4",9,2,7,0,2,3,5,6,3,6,10,0,8,10
"119","id_020","session_01","order_04","choc2",3,8,6,0,6,0,4,0,4,4,5,4,7,6
"120","id_020","session_01","order_05","choc3",2,7,0,10,6,0,10,0,0,1,0,8,10,0
"121","id_021","session_01","order_03","choc3",3,6,3,5,5,0,8,0,3,0,5,7,0,0
"122","id_021","session_01","order_01","choc5",6,3,6,0,1,0,4,2,4,2,5,3,1,0
"123","id_021","session_01","order_06","choc2",7,2,6,3,0,0,3,0,5,1,8,6,4,3
"124","id_021","session_01","order_02","choc6",4,0,2,2,1,0,6,0,1,0,6,2,3,4
"125","id_021","session_01","order_04","choc1",4,3,2,0,0,0,1,4,5,6,2,5,4,5
"126","id_021","session_01","order_05","choc4",5,3,4,0,0,0,0,0,4,4,6,4,3,5
"127","id_022","session_01","order_01","choc1",8,1,10,0,0,0,5,3,9,0,8,6,1,0
"128","id_022","session_01","order_06","choc3",3,10,6,7,5,0,4,2,0,0,1,10,1,0
"129","id_022","session_01","order_05","choc5",3,7,9,3,0,0,6,1,9,0,10,7,0,2
"130","id_022","session_01","order_02","choc2",5,5,5,2,0,0,6,0,1,0,8,4,2,2
"131","id_022","session_01","order_04","choc4",4,7,6,5,0,0,3,5,5,0,8,6,1,4
"132","id_022","session_01","order_03","choc6",5,7,6,0,0,0,7,2,6,0,7,4,2,1
"133","id_023","session_01","order_02","choc3",7,6,2,9,7,3,7,2,1,0,3,5,4,2
"134","id_023","session_01","order_01","choc4",7,4,9,4,3,2,4,6,7,1,8,1,4,3
"135","id_023","session_01","order_04","choc5",9,1,8,4,4,1,6,6,7,2,9,2,1,2
"136","id_023","session_01","order_03","choc2",9,4,9,2,1,0,4,5,6,3,8,1,0,2
"137","id_023","session_01","order_06","choc6",7,4,9,5,2,1,7,8,6,1,10,2,4,5
"138","id_023","session_01","order_05","choc1",5,5,10,2,1,1,5,7,8,3,9,2,5,5
"139","id_024","session_01","order_05","choc6",6,5,6,4,3,1,5,6,4,5,5,5,4,1
"140","id_024","session_01","order_01","choc2",6,5,7,5,1,2,3,3,5,5,6,5,2,1
"141","id_024","session_01","order_04","choc3",3,7,2,8,7,4,8,1,0,2,2,7,7,2
"142","id_024","session_01","order_02","choc4",4,6,6,3,0,1,5,7,3,7,4,2,6,3
"143","id_024","session_01","order_06","choc5",7,2,6,1,0,0,4,7,6,7,7,4,3,1
"144","id_024","session_01","order_03","choc1",6,2,7,1,0,0,2,8,6,7,7,2,2,7
"145","id_025","session_01","order_02","choc5",9,6,8,3,0,0,4,0,6,2,7,9,0,0
"146","id_025","session_01","order_03","choc4",10,3,9,1,0,0,4,0,6,4,7,9,1,0
"147","id_025","session_01","order_04","choc6",9,5,9,3,0,0,3,1,7,7,8,8,6,0
"148","id_025","session_01","order_06","choc1",7,6,9,2,0,0,2,1,8,6,7,9,7,0
"149","id_025","session_01","order_05","choc2",7,6,7,3,0,0,4,1,6,6,8,9,8,0
"150","id_025","session_01","order_01","choc3",6,8,6,8,0,0,6,0,2,2,2,8,1,0
"151","id_026","session_01","order_03","choc1",7,1,8,1,1,0,0,2,7,2,7,5,5,2
"152","id_026","session_01","order_05","choc4",7,3,8,3,6,0,1,0,8,4,8,3,6,3
"153","id_026","session_01","order_06","choc2",7,1,7,2,6,1,3,2,7,3,9,1,7,3
"154","id_026","session_01","order_01","choc6",6,7,4,2,7,1,3,5,7,0,8,2,7,1
"155","id_026","session_01","order_02","choc5",8,3,5,5,7,0,2,3,5,3,6,4,4,0
"156","id_026","session_01","order_04","choc3",6,1,1,6,7,2,7,0,1,0,3,7,7,0
"157","id_027","session_01","order_01","choc3",6,8,5,4,7,2,3,7,5,1,8,7,2,1
"158","id_027","session_01","order_03","choc5",7,6,7,2,5,1,8,7,7,2,9,6,2,0
"159","id_027","session_01","order_05","choc6",6,8,8,7,6,3,8,8,6,3,9,6,2,1
"160","id_027","session_01","order_02","choc2",9,6,8,3,6,2,8,7,6,5,8,7,2,2
"161","id_027","session_01","order_06","choc1",9,6,8,5,2,2,7,7,6,3,9,7,3,3
"162","id_027","session_01","order_04","choc4",6,7,8,3,2,2,3,4,7,3,8,5,6,2
"163","id_028","session_01","order_04","choc2",8,3,10,0,0,0,6,0,4,4,10,3,4,2
"164","id_028","session_01","order_01","choc5",8,2,9,0,0,0,6,0,6,0,7,2,1,1
"165","id_028","session_01","order_03","choc6",9,3,8,0,1,0,7,0,4,1,8,1,1,2
"166","id_028","session_01","order_02","choc3",1,7,3,9,7,1,9,0,0,0,5,7,7,0
"167","id_028","session_01","order_06","choc4",8,2,8,1,4,1,6,1,4,1,5,2,6,0
"168","id_028","session_01","order_05","choc1",8,0,8,0,0,0,4,0,8,7,2,1,4,5
"169","id_029","session_01","order_01","choc2",8,1,8,1,0,1,1,0,4,3,7,2,0,0
"170","id_029","session_01","order_02","choc4",5,9,4,1,8,6,2,4,3,6,2,2,7,1
"171","id_029","session_01","order_04","choc1",8,4,6,1,3,0,3,8,5,7,7,2,2,4
"172","id_029","session_01","order_03","choc3",8,3,1,10,8,7,9,1,0,1,1,7,0,0
"173","id_029","session_01","order_05","choc5",4,2,5,8,9,1,9,6,8,4,9,7,0,0
"174","id_029","session_01","order_06","choc6",2,8,1,9,7,8,8,1,7,8,5,7,0,1
"175","id_001","session_02","order_03","choc3",4,7,2,9,7,7,9,1,2,3,3,8,5,6
"176","id_001","session_02","order_01","choc2",7,7,6,6,3,4,7,6,7,7,6,3,8,4
"177","id_001","session_02","order_02","choc4",7,5,6,5,5,4,7,3,5,3,3,6,4,6
"178","id_001","session_02","order_06","choc6",6,5,5,6,5,3,7,2,3,4,4,2,7,7
"179","id_001","session_02","order_04","choc1",8,5,8,3,2,2,6,2,8,3,6,2,2,7
"180","id_001","session_02","order_05","choc5",5,6,5,5,3,3,7,2,2,5,7,3,3,2
"181","id_002","session_02","order_05","choc3",5,6,4,8,6,2,7,0,0,0,3,6,3,1
"182","id_002","session_02","order_03","choc2",5,5,4,4,2,1,6,0,1,0,8,3,6,0
"183","id_002","session_02","order_04","choc6",6,5,5,5,1,0,6,0,0,0,5,3,3,4
"184","id_002","session_02","order_02","choc1",6,5,8,2,0,0,1,0,2,0,6,6,7,1
"185","id_002","session_02","order_01","choc4",4,8,6,5,0,0,4,0,1,0,8,2,4,5
"186","id_002","session_02","order_06","choc5",8,5,6,3,0,0,3,0,2,0,4,2,4,3
"187","id_003","session_02","order_06","choc3",2,6,4,8,6,3,10,0,1,0,2,9,5,1
"188","id_003","session_02","order_04","choc5",7,2,5,3,5,2,4,1,2,2,3,6,2,4
"189","id_003","session_02","order_05","choc2",9,2,6,4,4,4,7,3,2,2,3,8,3,2
"190","id_003","session_02","order_01","choc1",8,2,7,1,5,3,2,8,8,5,6,3,2,4
"191","id_003","session_02","order_02","choc6",5,6,5,6,4,3,6,1,2,1,6,5,5,3
"192","id_003","session_02","order_03","choc4",6,4,6,3,5,1,6,6,2,3,6,5,2,1
"193","id_004","session_02","order_01","choc5",8,3,9,0,6,0,0,8,7,9,10,8,10,0
"194","id_004","session_02","order_02","choc3",4,8,6,10,7,4,9,0,5,0,6,8,8,9
"195","id_004","session_02","order_06","choc4",8,2,6,3,4,4,4,8,9,6,7,1,4,7
"196","id_004","session_02","order_04","choc2",6,4,7,3,8,2,7,3,8,3,7,0,5,5
"197","id_004","session_02","order_03","choc6",9,0,9,1,5,0,2,6,9,7,10,1,8,9
"198","id_004","session_02","order_05","choc1",7,1,7,0,0,0,8,5,6,9,4,0,4,10
"199","id_005","session_02","order_05","choc6",5,6,6,4,5,5,8,4,2,2,9,8,3,1
"200","id_005","session_02","order_03","choc5",8,6,8,6,2,2,7,4,4,6,8,3,5,2
"201","id_005","session_02","order_01","choc3",6,6,4,6,6,6,8,5,2,4,8,4,7,2
"202","id_005","session_02","order_02","choc2",9,6,8,3,4,0,6,2,4,2,10,5,5,2
"203","id_005","session_02","order_04","choc4",8,2,8,3,3,0,5,3,3,4,9,2,2,5
"204","id_005","session_02","order_06","choc1",10,1,10,3,0,0,3,5,7,7,7,7,3,6
"205","id_006","session_02","order_04","choc3",5,7,7,8,7,4,7,3,6,2,7,9,1,2
"206","id_006","session_02","order_02","choc5",6,6,8,5,5,2,8,3,7,6,8,8,4,3
"207","id_006","session_02","order_03","choc1",5,3,8,7,6,6,8,6,7,7,6,9,2,1
"208","id_006","session_02","order_01","choc6",8,6,7,6,4,1,5,4,4,0,6,5,8,5
"209","id_006","session_02","order_05","choc4",3,5,8,4,3,3,8,4,8,5,8,6,3,3
"210","id_006","session_02","order_06","choc2",7,6,8,5,3,4,7,5,7,4,9,5,6,5
"211","id_007","session_02","order_02","choc5",9,4,9,1,7,0,3,6,7,7,6,2,9,7
"212","id_007","session_02","order_05","choc2",9,3,8,3,0,0,5,5,9,0,9,1,5,9
"213","id_007","session_02","order_01","choc3",4,7,4,9,5,0,8,3,4,0,3,5,4,0
"214","id_007","session_02","order_03","choc4",6,4,2,2,5,6,4,5,0,9,9,6,6,7
"215","id_007","session_02","order_04","choc6",2,7,4,5,5,0,1,4,1,0,9,1,2,7
"216","id_007","session_02","order_06","choc1",5,6,5,2,0,0,3,9,3,8,9,6,6,5
"217","id_008","session_02","order_01","choc2",10,2,9,0,6,1,3,8,2,6,9,5,4,9
"218","id_008","session_02","order_02","choc4",6,2,9,1,7,9,8,9,7,7,6,9,5,7
"219","id_008","session_02","order_05","choc6",8,7,9,2,1,7,7,4,8,8,7,5,3,5
"220","id_008","session_02","order_06","choc5",8,1,6,3,9,5,8,4,2,7,10,2,3,5
"221","id_008","session_02","order_03","choc1",7,8,10,3,10,5,3,10,7,9,7,10,8,2
"222","id_008","session_02","order_04","choc3",3,9,1,10,10,6,9,6,0,3,3,10,9,0
"223","id_009","session_02","order_03","choc2",6,3,7,1,3,2,7,3,4,4,8,4,3,7
"224","id_009","session_02","order_04","choc5",5,5,5,4,3,4,7,3,2,3,3,6,7,2
"225","id_009","session_02","order_06","choc6",8,3,8,2,4,3,9,2,3,3,10,4,5,7
"226","id_009","session_02","order_01","choc4",4,7,4,7,5,4,7,2,2,2,4,7,6,1
"227","id_009","session_02","order_05","choc1",8,2,9,1,3,2,4,7,8,6,5,6,7,8
"228","id_009","session_02","order_02","choc3",2,10,1,10,9,8,9,1,1,1,2,8,8,1
"229","id_010","session_02","order_03","choc6",8,6,5,3,9,8,8,1,2,4,9,10,2,1
"230","id_010","session_02","order_06","choc3",9,7,4,9,8,5,9,1,1,4,6,10,4,1
"231","id_010","session_02","order_02","choc2",8,5,6,3,7,7,6,1,3,3,9,8,1,2
"232","id_010","session_02","order_05","choc5",8,7,9,5,8,6,9,1,5,4,9,9,1,4
"233","id_010","session_02","order_01","choc1",9,3,8,2,5,3,5,1,3,5,9,7,2,8
"234","id_010","session_02","order_04","choc4",9,7,9,4,3,7,3,1,6,7,9,8,3,5
"235","id_011","session_02","order_04","choc1",6,3,7,2,2,3,2,2,6,5,7,5,3,5
"236","id_011","session_02","order_02","choc6",6,2,3,4,3,4,5,2,1,1,6,3,2,1
"237","id_011","session_02","order_01","choc5",6,4,6,5,4,5,3,3,2,2,4,4,6,3
"238","id_011","session_02","order_06","choc2",4,4,4,4,2,3,5,2,6,3,6,4,6,3
"239","id_011","session_02","order_05","choc4",2,2,4,2,3,4,2,2,2,2,3,3,3,3
"240","id_011","session_02","order_03","choc3",6,2,4,7,7,8,8,1,1,3,3,7,6,3
"241","id_012","session_02","order_05","choc3",7,7,4,9,8,7,6,3,1,0,3,5,7,0
"242","id_012","session_02","order_01","choc6",8,6,8,5,2,2,7,3,8,0,8,4,5,0
"243","id_012","session_02","order_04","choc2",9,4,6,5,6,2,4,0,7,0,9,1,1,0
"244","id_012","session_02","order_03","choc5",6,5,7,7,5,5,6,0,8,0,7,4,1,3
"245","id_012","session_02","order_02","choc1",9,4,9,2,1,1,4,7,9,0,8,2,1,3
"246","id_012","session_02","order_06","choc4",8,4,8,5,2,2,2,2,8,0,4,5,0,2
"247","id_013","session_02","order_01","choc4",7,3,6,2,1,1,5,3,1,1,5,7,2,1
"248","id_013","session_02","order_03","choc2",9,1,8,0,1,1,5,3,2,2,7,5,3,2
"249","id_013","session_02","order_04","choc5",8,1,7,1,0,0,7,4,5,6,8,5,2,1
"250","id_013","session_02","order_06","choc1",7,3,7,1,0,0,8,0,0,0,1,9,6,0
"251","id_013","session_02","order_02","choc3",1,10,1,9,1,3,9,1,1,1,1,7,3,1
"252","id_013","session_02","order_05","choc6",7,2,7,2,0,0,4,1,3,4,4,2,1,4
"253","id_014","session_02","order_03","choc3",6,4,3,8,6,2,8,2,3,1,2,7,2,3
"254","id_014","session_02","order_04","choc6",7,2,7,1,3,1,5,5,4,1,8,4,2,6
"255","id_014","session_02","order_05","choc4",7,3,7,4,5,2,5,2,5,1,7,6,3,3
"256","id_014","session_02","order_01","choc5",6,5,7,3,3,2,3,4,6,2,4,5,2,2
"257","id_014","session_02","order_02","choc1",7,3,7,2,3,1,3,2,8,2,3,4,6,4
"258","id_014","session_02","order_06","choc2",7,2,7,2,3,1,6,2,5,1,5,4,2,5
"259","id_015","session_02","order_02","choc4",7,2,8,4,3,3,6,3,5,6,3,8,1,1
"260","id_015","session_02","order_01","choc5",6,4,5,6,4,2,6,1,4,4,3,8,1,1
"261","id_015","session_02","order_06","choc6",8,2,7,3,2,0,7,0,4,4,6,5,1,2
"262","id_015","session_02","order_03","choc3",5,4,0,6,9,4,10,5,0,3,1,8,1,0
"263","id_015","session_02","order_04","choc2",9,2,10,0,0,1,1,2,9,8,8,5,1,0
"264","id_015","session_02","order_05","choc1",9,5,10,0,0,0,1,3,7,9,1,4,0,0
"265","id_016","session_02","order_04","choc3",4,9,4,10,9,3,7,1,1,0,0,8,8,6
"266","id_016","session_02","order_01","choc2",5,8,6,5,2,2,5,2,1,0,9,6,6,7
"267","id_016","session_02","order_03","choc6",5,9,4,6,2,2,7,1,1,0,8,6,6,6
"268","id_016","session_02","order_02","choc4",6,8,4,8,6,3,5,6,7,5,3,6,7,2
"269","id_016","session_02","order_06","choc5",5,7,8,4,1,1,7,3,2,2,8,2,9,8
"270","id_016","session_02","order_05","choc1",8,4,9,4,1,1,4,2,7,7,3,1,3,4
"271","id_017","session_02","order_01","choc3",2,7,1,10,6,5,8,1,1,0,1,10,4,2
"272","id_017","session_02","order_02","choc5",8,4,6,1,3,2,3,7,7,7,3,2,1,7
"273","id_017","session_02","order_04","choc4",6,3,6,4,1,1,3,9,7,3,1,3,8,6
"274","id_017","session_02","order_06","choc2",7,2,6,1,2,1,1,8,5,7,9,2,6,8
"275","id_017","session_02","order_05","choc6",5,4,3,4,1,1,6,4,5,5,6,2,8,8
"276","id_017","session_02","order_03","choc1",7,2,7,1,1,1,2,8,8,7,2,5,7,3
"277","id_018","session_02","order_06","choc3",5,8,2,9,5,5,5,1,0,1,2,4,5,0
"278","id_018","session_02","order_01","choc2",7,4,5,1,0,0,3,1,3,0,7,3,4,1
"279","id_018","session_02","order_02","choc6",3,8,5,4,1,2,7,2,5,2,2,4,1,0
"280","id_018","session_02","order_05","choc5",5,8,6,4,2,2,4,1,5,1,2,8,0,0
"281","id_018","session_02","order_03","choc4",8,3,8,1,2,0,3,7,0,8,2,4,0,1
"282","id_018","session_02","order_04","choc1",7,8,8,1,1,0,0,8,6,5,1,8,6,0
"283","id_019","session_02","order_01","choc1",8,0,9,1,1,1,1,4,9,3,5,7,3,2
"284","id_019","session_02","order_02","choc3",5,5,3,9,4,1,5,1,1,1,2,9,3,1
"285","id_019","session_02","order_03","choc6",7,2,7,2,3,1,3,4,7,2,9,7,3,1
"286","id_019","session_02","order_04","choc5",7,2,6,1,3,2,5,2,5,2,7,4,3,1
"287","id_019","session_02","order_05","choc2",7,3,6,1,5,3,5,2,4,2,7,7,6,1
"288","id_019","session_02","order_06","choc4",5,0,3,3,4,3,4,4,4,2,5,8,4,1
"289","id_020","session_02","order_01","choc1",10,0,10,0,1,3,0,3,10,8,10,8,3,0
"290","id_020","session_02","order_04","choc2",2,10,10,0,3,0,0,6,9,10,10,2,8,6
"291","id_020","session_02","order_03","choc5",4,8,10,0,3,0,1,8,6,9,6,3,8,7
"292","id_020","session_02","order_06","choc4",4,7,6,0,3,0,3,9,7,7,6,0,4,10
"293","id_020","session_02","order_02","choc6",2,10,2,5,8,0,10,0,0,2,6,0,10,8
"294","id_020","session_02","order_05","choc3",1,8,0,9,10,6,10,0,0,2,0,3,10,0
